test
;Temps;Déplacement machine;Charge;Charge interpolée VIC;Déformation interpolée VIC;Déplacement Delta_L interpolé
37;3.6;0.1768900000000002;1836.69141;1885.8211111111002;0.0010276661111111025;0.02581184444444426
38;3.7;0.18182000000000187;1890.49243;1947.7449999999953;0.001071759999999998;0.026851999999999925
39;3.8;0.18674000000000035;1943.72375;2004.9523134328253;0.0010884626865671555;0.027333110447760982
40;3.9;0.19161000000000072;1996.8009;2050.4224626865516;0.0011264925373134199;0.028258782089551925
41;4.0;0.1967400000000019;2052.65088;2116.2933582089463;0.0011545677611940212;0.029049916417910254
42;4.1;0.20195000000000007;2109.88599;2159.7187313432887;0.0011972841791044828;0.03001066268656728
43;4.2;0.2065400000000004;2158.75024;2202.192222222212;0.0012079818518518466;0.030297385185185034
44;4.3;0.21166000000000196;2214.55811;2257.2366666666608;0.0012368188888888857;0.0311190888888888
45;4.4;0.21662000000000248;2267.62598;2317.483888888877;0.001274846666666662;0.03203730555555539
46;4.5;0.22197000000000244;2325.11597;2376.806153846152;0.0013072184615384598;0.03299624615384611
47;4.6;0.22653000000000034;2372.26025;2423.111044776114;0.0013418152238805945;0.03372925970149249
48;4.7;0.2316900000000004;2427.02515;2470.0504347825895;0.00136096869565217;0.03415152608695631
49;4.8;0.2366000000000028;2477.65723;2528.5576119402895;0.0013981077611940193;0.035123368656716204
50;4.9;0.2419600000000024;2534.11279;2577.283333333319;0.0014352233333333306;0.035835233333333306
51;5.0;0.24638000000000204;2578.83545;2632.3388888888812;0.001441974444444445;0.03610643333333323
52;5.1;0.25181000000000253;2630.73047;2674.56544117646;0.0014591704411764616;0.03678958529411744
53;5.2;0.25658000000000314;2674.83301;2718.8531343283557;0.0014944423880597;0.03760411791044773
54;5.3;0.26188000000000144;2727.70483;2762.8755223880526;0.0015216737313432792;0.03820710298507453
55;5.4;0.2664500000000025;2771.08618;2814.8788888888753;0.001534482222222216;0.03868894444444422
56;5.5;0.2718500000000006;2823.74121;2856.789999999989;0.0015532599999999953;0.039378499999999816
57;5.6;0.2767700000000026;2868.99683;2786.4011111111317;0.001573626666666661;0.03968622222222213
58;5.7;0.28184000000000253;2884.37573;2758.245555555577;0.0015817733333333272;0.039809311111111016
59;5.74;0.283570000000001;2808.4646;2731.870952380943;0.0015891325714285757;0.03991695809523818
60;5.786;0.28584999999999994;2733.41113;2761.5534920634827;0.0015760087619047661;0.039659593015873094
61;5.886;0.29117000000000104;2738.89331;2791.2360317460225;0.0015628849523809565;0.039402227936508015
62;5.986;0.2960400000000014;2776.84619;2820.9185714285627;0.0015497611428571467;0.039144862857142936
63;6.086;0.30113000000000056;2825.12402;2871.6938805970003;0.0015743338059701392;0.03985763582089534
64;6.186;0.30582000000000065;2870.91626;2921.7290370370283;0.0016104162222222121;0.04049625925925909
